# Branch 输入 u：右端项 f 在均匀传感器网格上的离散值（与 generate_poisson_2d_data 中 u_test[k] 一致）
# nx=10 ny=10 N=100  meshgrid indexing=xy 展平顺序与训练数据一致
# 测试集样本索引 k=40  seed=42  best_test=True
# query 点 rel_l2=1.923968052548827301e-02
# Fourier 系数 a (维度 4)；解析真解 p 由 a 给出（fourier_to_solution）
# 1.616875290870666504e+00 1.488510727882385254e+00 9.554636478424072266e-01 8.733078241348266602e-01
# --- 解析真解 p 分量 i, p_i（与 f 同网格）---
0	0.000000000000000000e+00
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	2.503977902233600616e-02
12	4.399395734071731567e-02
13	5.294529348611831665e-02
14	5.138059705495834351e-02
15	4.198755323886871338e-02
16	2.916128188371658325e-02
17	1.694777607917785645e-02
18	7.386637851595878601e-03
19	2.442048926493351271e-18
20	0.000000000000000000e+00
21	4.316921904683113098e-02
22	7.592166215181350708e-02
23	9.153476357460021973e-02
24	8.908809721469879150e-02
25	7.312394678592681885e-02
26	5.111211910843849182e-02
27	2.995472773909568787e-02
28	1.316643040627241135e-02
29	4.369681674665487609e-18
30	0.000000000000000000e+00
31	5.013172328472137451e-02
32	8.833529055118560791e-02
33	1.068732887506484985e-01
34	1.045966148376464844e-01
35	8.657453954219818115e-02
36	6.123980879783630371e-02
37	3.644281998276710510e-02
38	1.626132242381572723e-02
39	5.433407818267854396e-18
40	0.000000000000000000e+00
41	4.580638930201530457e-02
42	8.098675310611724854e-02
43	9.858357906341552734e-02
44	9.741706401109695435e-02
45	8.178638666868209839e-02
46	5.900529399514198303e-02
47	3.597998619079589844e-02
48	1.643031090497970581e-02
49	5.545557792898406441e-18
50	0.000000000000000000e+00
51	3.388620913028717041e-02
52	6.027313321828842163e-02
53	7.416256517171859741e-02
54	7.450977712869644165e-02
55	6.405445188283920288e-02
56	4.768876731395721436e-02
57	3.016824088990688324e-02
58	1.423663832247257233e-02
59	4.871839863489279225e-18
60	0.000000000000000000e+00
61	1.994877494871616364e-02
62	3.588656708598136902e-02
63	4.503712058067321777e-02
64	4.659331217408180237e-02
65	4.167572781443595886e-02
66	3.258536756038665771e-02
67	2.172695472836494446e-02
68	1.070674415677785873e-02
69	3.727496697387494361e-18
70	0.000000000000000000e+00
71	8.846431039273738861e-03
72	1.627917960286140442e-02
73	2.121727168560028076e-02
74	2.312917821109294891e-02
75	2.206689678132534027e-02
76	1.852748543024063110e-02
77	1.322046574205160141e-02
78	6.849998608231544495e-03
79	2.429791143791081092e-18
80	0.000000000000000000e+00
81	2.637170953676104546e-03
82	5.065086763352155685e-03
83	7.048812694847583771e-03
84	8.328967727720737457e-03
85	8.662433363497257233e-03
86	7.893176749348640442e-03
87	6.025261711329221725e-03
88	3.263880731537938118e-03
89	1.175875084257153141e-18
90	0.000000000000000000e+00
91	6.868705147390266320e-19
92	1.366333110104758056e-18
93	1.996574323120521567e-18
94	2.487637745183292562e-18
95	2.718795021722461252e-18
96	2.581885463406665706e-18
97	2.031924506983434620e-18
98	1.121304428283381368e-18
99	4.064889311679721550e-34
# --- 右端项 f / Branch 输入 u 分量 i, u_i ---
0	0.000000000000000000e+00
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	1.087267041206359863e+00
12	1.845127463340759277e+00
13	2.076676607131958008e+00
14	1.790624499320983887e+00
15	1.183101177215576172e+00
16	5.383741855621337891e-01
17	9.583431482315063477e-02
18	-5.450287461280822754e-02
19	2.329627335484474315e-08
20	0.000000000000000000e+00
21	1.804428339004516602e+00
22	3.062118530273437500e+00
23	3.446266174316406250e+00
24	2.971351146697998047e+00
25	1.962937831878662109e+00
26	8.928754925727844238e-01
27	1.585097908973693848e-01
28	-9.076753258705139160e-02
29	3.874548326621152228e-08
30	0.000000000000000000e+00
31	1.937832713127136230e+00
32	3.288378238677978516e+00
33	3.700618267059326172e+00
34	3.190164566040039062e+00
35	2.106806993484497070e+00
36	9.574608802795410156e-01
37	1.689745783805847168e-01
38	-9.821343421936035156e-02
39	4.180400026143615833e-08
40	0.000000000000000000e+00
41	1.515548467636108398e+00
42	2.571565628051757812e+00
43	2.893432855606079102e+00
